"language","Variable","t_value"
"English (American)","AoA","4.76 (0)"
"English (American)","concreteness","-2.13 (0.04)"
"English (American)","uni-gram","3.69 (0)"
"English (American)","LSTM residual","-0.91 (0.37)"
"English (British)","aoa","2.3 (0.03)"
"English (British)","concreteness","-2.03 (0.05)"
"English (British)","surprisal_1gm","2.01 (0.05)"
"English (British)","lstm_surp_resid","-0.6 (0.55)"
"English (Australian)","aoa","4.03 (0)"
"English (Australian)","concreteness","-1.61 (0.11)"
"English (Australian)","surprisal_1gm","3.22 (0)"
"English (Australian)","lstm_surp_resid","-2.2 (0.03)"
"German","aoa","3.66 (0)"
"German","concreteness","-1.5 (0.14)"
"German","surprisal_1gm","0.62 (0.53)"
"German","lstm_surp_resid","0.28 (0.78)"
"French (French)","aoa","4.16 (0)"
"French (French)","concreteness","-1.74 (0.09)"
"French (French)","surprisal_1gm","2.16 (0.04)"
"French (French)","lstm_surp_resid","-0.43 (0.67)"
"French (Quebecois)","aoa","4.81 (0)"
"French (Quebecois)","concreteness","-3 (0)"
"French (Quebecois)","surprisal_1gm","2.85 (0.01)"
"French (Quebecois)","lstm_surp_resid","0.85 (0.4)"
"Spanish (European)","aoa","2.1 (0.04)"
"Spanish (European)","concreteness","-1.82 (0.07)"
"Spanish (European)","surprisal_1gm","2.33 (0.02)"
"Spanish (European)","lstm_surp_resid","-1.9 (0.06)"
"Spanish (Mexican)","aoa","2.5 (0.02)"
"Spanish (Mexican)","concreteness","-1.63 (0.11)"
"Spanish (Mexican)","surprisal_1gm","1.37 (0.18)"
"Spanish (Mexican)","lstm_surp_resid","-0.42 (0.68)"
"Mandarin (Beijing)","aoa","1.71 (0.09)"
"Mandarin (Beijing)","concreteness","-2.48 (0.02)"
"Mandarin (Beijing)","surprisal_1gm","2.48 (0.02)"
"Mandarin (Beijing)","lstm_surp_resid","0.42 (0.68)"
"Mandarin (Taiwanese)","aoa","2.44 (0.02)"
"Mandarin (Taiwanese)","concreteness","-2.07 (0.04)"
"Mandarin (Taiwanese)","surprisal_1gm","1.92 (0.06)"
"Mandarin (Taiwanese)","lstm_surp_resid","-0.15 (0.88)"
