"","language","num_target_child","tokens"
"1","dan",120,285447
"2","eng",20655,25659263
"3","eng",20655,25659263
"4","eng",20655,25659263
"5","fra",2294,3183037
"6","fra",2294,3183037
"7","deu",2331,5663294
"8","ita",388,458427
"9","ell",206,131535
"10","nor",198,248795
"11","por",787,761765
"12","rus",875,121184
"13","spa",2183,2267707
"14","spa",2183,2267707
"15","swe",249,583931
"16","tur",358,188150
"17","hrv",400,365918
"18","ces",172,290272
"19","zho",3818,2369896
"20","zho",3818,2369896
"21","yue",160,8376
"22","heb",787,876201
"23","kor",188,391258
"24","cat",327,253574
"25","nld",1966,2555023
"26","hun",328,308814
"27","ind",0,0
"28","ron",165,197825
"29","tam",25,15490
"30","afr",69,41859
"31","ara",180,60233
"32","eus",141,150242
"33","   ",0,0
"34","   ",0,0
"35","isl",46,290100
"36","gle",29,127455
"37","   ",0,0
"38","pol",373,1040674
"39","srp",127,1099107
"40","   ",0,0
"41","   ",0,0
"42","cym",0,0
"43","   ",0,0
"44","   ",0,0
"45","   ",0,0
"46","   ",0,0
"47","   ",0,0
"48","   ",0,0
"49","est",374,874780
"50","gla",0,0
"51","glg",0,0
"52","   ",0,0
"53","   ",0,0
"54","haw",0,0
"55","jam",49,273720
"56","jpn",1205,2398936
"57","jav",0,0
"58","   ",0,0
"59","kik",0,0
"60","   ",0,0
"61","   ",0,0
"62","   ",0,0
"63","   ",0,0
"64","xmm",0,0
"65","mar",0,0
"66","nan",20,0
"67","   ",0,0
"68","esk",0,0
"69","fas",144,180012
"70","pol",373,1040674
"71","   ",0,0
"72","que",58,14909
"73","slv",37,9040
"74","sot",69,234633
"75","tgl",0,0
"76","taq",60,10915
"77","tha",291,243937
"78","und",0,0
"79","   ",0,0
"80","yuw",4,19658
"81","yid",0,0
